Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;5;157.4;0.0;0.0;15.0;0.0;19.0;5.3;0.0;0.0;42.3;15.0;12.0;9.0;8.3;0.0;5.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;1.2;0.0;0.0;0.0;16.0;0.0;0.0;2.0;1.3
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;6;13.0;3.3;0.0;1.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;3.2;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;7;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;9;19.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2016;12;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;1;170.8;0.0;0.0;2.0;6.3;7.0;0.0;0.0;12.2;24.2;0.0;0.0;31.2;0.0;0.0;2.0;0.0;0.0;0.0;27.0;22.3;4.1;0.0;4.0;0.0;0.0;0.0;0.0;17.3;3.0;5.0;3.2
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;2;248.1;17.3;6.2;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;31.0;16.0;0.0;0.0;0.0;0.0;0.0;35.0;28.0;47.0;7.3;0.0;0.0;0.0;5.0;16.0;20.0;16.3;888.0;888.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;3;350.8;16.0;23.0;4.0;0.0;0.0;0.0;9.3;8.0;52.0;4.0;4.3;0.0;7.0;37.0;0.0;4.0;11.0;0.0;0.0;27.0;8.0;0.0;29.0;58.0;8.0;3.0;8.0;17.0;2.2;11.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;4;413.4;20.0;17.0;0.0;27.0;36.0;13.2;0.0;2.0;0.0;0.0;74.0;30.0;0.0;42.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;26.0;6.2;0.0;4.0;12.0;0.0;54.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;5;176.6;29.2;53.2;0.0;8.2;20.0;0.0;0.0;16.0;28.0;6.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;6;92.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;17.0;0.0;0.0;58.0;0.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;7.2;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;7;64.6;0.0;0.0;5.0;0.0;0.0;10.0;5.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2;34.2;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2017;12;15.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;1;111.1;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;2.1;2.3;8.0;0.0;0.0;5.0;0.0;30.0;0.0;11.0;10.3;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;18.0;1.2;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;2;269.5;0.0;0.0;6.0;2.0;0.0;8.2;1.3;15.0;0.0;0.0;1.0;11.0;37.0;0.0;70.2;0.0;9.3;17.0;18.0;2.0;0.0;9.0;2.3;5.2;46.0;9.0;0.0;0.0;888.0;888.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;3;138.7;16.0;4.0;0.0;2.2;0.0;0.0;0.0;12.2;0.0;29.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3;0.0;0.0;1.3;2.0;0.0;9.2;13.0;38.0;3.2;1.3;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;4;253.9;9.0;3.0;9.3;0.0;15.0;0.0;0.0;2.0;0.0;7.0;5.0;10.2;0.0;2.0;0.0;63.0;40.0;5.2;0.0;0.0;0.0;27.0;0.0;4.0;0.0;18.0;0.0;5.0;2.2;27.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;5;157.6;6.0;49.0;0.0;0.0;0.0;36.0;7.2;0.0;2.1;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.3;38.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;6;68.4;0.0;0.0;0.0;0.0;0.0;33.0;0.0;11.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;14.0;0.0;0.0;0.0;0.0;0.0;3.1;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;7;165.3;0.0;0.0;0.0;0.0;0.0;0.0;77.0;35.0;0.0;21.0;18.0;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;8;10.4;2.3;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SANTO AMARO;-3.5541666666667;-38.874722222222;2018;10;2.0;2.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
