Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;1;289.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;24.0;0.0;74.0;6.8;0.0;90.0;25.4;0.0;0.0;0.0;0.6;6.0;23.0;0.0;19.8;0.0;15.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;2;101.3;0.0;0.0;52.4;0.0;6.2;0.0;0.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;11.0;3.1;888.0;888.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;3;280.7;8.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.6;0.0;1.2;6.0;9.6;24.4;0.0;0.0;0.0;0.0;4.8;0.0;6.2;35.2;13.9;52.3;43.4;0.0;3.8;32.2;11.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;4;734.4;41.2;38.2;51.6;8.2;20.2;27.0;11.0;33.4;2.2;1.2;19.0;25.0;12.0;30.0;85.0;28.0;13.0;38.0;62.0;10.0;8.0;12.0;3.2;39.2;18.0;1.4;0.0;1.2;0.2;95.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;5;151.0;2.2;15.6;5.6;0.0;0.0;0.0;1.2;2.6;0.0;10.0;0.0;0.0;13.8;0.2;8.0;0.6;1.8;0.0;0.0;0.0;9.2;32.6;3.3;2.4;3.0;0.3;31.8;1.4;1.6;3.8;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;6;34.6;6.4;0.0;0.0;0.0;0.0;0.0;0.0;4.4;0.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;10.2;2.2;4.0;0.0;2.0;0.6;0.0;0.0;0.0;0.0;2.0;0.0;0.6;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;7;15.0;0.0;0.0;0.0;0.0;0.0;5.6;0.0;2.0;0.0;1.4;0.0;0.0;0.0;0.6;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;8;1.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.6;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;9;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;10;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1974;12;5.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;1;42.6;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;3.6;12.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;9.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;2;80.0;0.0;10.0;13.0;0.0;0.0;14.0;0.0;0.0;0.0;9.0;0.0;17.0;10.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;3;107.8;0.0;24.0;0.0;0.0;0.0;1.0;19.2;0.0;0.0;0.0;7.0;13.0;25.6;2.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;4;135.2;0.0;0.0;21.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;11.6;0.0;0.0;4.0;7.0;0.0;3.6;0.0;0.0;16.0;5.0;20.0;3.2;4.0;6.0;0.0;2.0;4.2;4.6;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;5;141.0;0.0;0.0;0.0;3.0;5.0;0.0;2.0;0.0;7.0;0.0;0.0;0.0;28.0;2.0;1.0;2.0;0.0;0.0;27.0;11.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;6;114.0;0.0;20.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;5.0;6.0;0.0;0.0;0.0;9.0;10.0;15.0;0.0;0.0;8.0;6.0;1.0;0.0;0.0;0.0;2.0;7.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;7;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;0.0;16.0;0.0;6.0;3.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;8;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;10;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1975;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;1;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;2;125.0;0.0;0.0;14.0;23.0;0.0;0.0;0.0;0.0;14.0;10.0;0.0;32.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;3;133.0;0.0;0.0;0.0;0.0;13.0;35.0;0.0;0.0;7.0;0.0;25.0;0.0;0.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;17.0;11.0;10.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;4;121.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;20.0;0.0;24.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;5;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;9;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1976;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;1;89.0;0.0;5.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;17.0;10.0;0.0;0.0;0.0;2.0;35.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;2;54.0;12.0;3.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;10.0;0.0;0.0;0.0;888.0;888.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;3;78.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;2.0;19.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;32.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;4;143.0;0.0;0.0;0.0;3.0;15.0;22.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;80.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;5;173.0;0.0;0.0;0.0;18.0;0.0;11.0;0.0;0.0;0.0;11.0;22.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;9.0;0.0;80.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;6;82.0;0.0;0.0;10.0;0.0;0.0;28.0;0.0;0.0;0.0;13.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;7;64.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1977;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;1;123.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;1.0;0.0;0.0;0.0;24.0;35.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;2;118.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;888.0;888.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;3;72.0;0.0;0.0;0.0;0.0;0.0;17.0;4.0;0.0;0.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;4;154.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;44.0;0.0;6.0;0.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0;9.0;25.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;5;66.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;6;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;9;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;11;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1978;12;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;1;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;2;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;15.0;12.0;0.0;0.0;0.0;888.0;888.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;3;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;14.0;15.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;4;121.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;10.0;0.0;0.0;0.0;12.0;60.0;1.0;0.0;0.0;12.0;10.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;5;152.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;9.0;0.0;0.0;0.0;15.0;1.0;24.0;16.0;3.0;64.0;0.0;0.0;12.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;6;52.0;0.0;6.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;7;33.0;19.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;9;7.0;0.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monsenhor Tabosa;MONSENHOR TABOSA;-4.7971111111111;-40.063611111111;1979;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
