Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;1;177.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5;23.0;0.0;0.0;0.0;10.0;0.0;0.4;16.0;0.0;40.0;25.0;0.0;0.0;0.0;0.0;35.0;0.0;0.0;19.0;3.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;2;223.1;1.0;0.0;0.0;49.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;11.0;0.5;0.0;0.0;0.0;5.0;0.0;36.0;28.0;5.0;16.0;0.0;0.0;37.6;0.0;0.0;7.0;888.0;888.0;888.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;3;202.5;0.0;0.0;0.0;6.0;24.0;0.0;0.0;0.0;8.5;12.5;0.0;21.0;9.5;0.0;0.0;30.0;33.5;1.0;5.5;0.0;9.5;0.0;10.0;31.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;4;205.5;0.0;6.0;1.0;2.5;16.5;0.0;9.5;0.0;5.0;0.0;0.0;18.0;85.5;0.0;0.0;0.0;0.0;0.0;5.0;0.0;15.5;14.0;0.0;3.0;0.0;10.0;0.0;0.0;14.0;0.0;888.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;5;324.0;0.0;3.0;15.0;0.0;10.0;42.0;0.0;36.0;6.5;0.0;45.5;8.0;12.0;11.5;0.0;1.5;14.5;7.5;0.0;0.0;0.0;0.0;4.5;0.0;2.5;0.0;0.0;3.0;0.0;101.0;0.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;6;64.5;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;4.0;0.0;0.0;0.0;1.0;31.5;0.0;888.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;7;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;8;8.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Solonópole;SOLONOPOLE;-5.7336944444444;-39.006944444444;1974;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
