Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;4;99.3;0.0;0.0;43.1;16.2;7.4;0.0;0.0;0.8;9.2;2.4;0.0;0.6;0.0;0.0;0.4;3.6;7.4;0.0;0.0;7.8;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;5;104.4;13.2;8.0;0.2;9.4;0.0;5.4;1.8;0.0;0.0;0.0;0.0;6.6;0.0;0.0;5.2;7.8;6.4;0.0;0.0;0.0;0.0;0.2;2.0;0.0;0.0;0.0;0.0;0.0;9.2;29.0;0.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;6;16.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.8;3.4;0.0;0.0;0.0;0.8;2.8;0.0;3.0;5.2;0.0;0.0;888.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;7;3.8;0.0;0.0;0.0;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;9;7.2;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.2;2.2;0.0;0.0;0.0;2.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;10;7.8;0.0;4.0;2.2;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;11;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.4;11.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2014;12;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeramobim;RIACHO DO ALGODAO;-5.3528055555556;-39.576138888889;2015;1;18.4;0.0;0.0;5.6;0.0;12.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;999.0
